Year (year),State Name (state_name),District Name (district_name),Block Name (block_name),Gram Panchayat Name (gp_name),Number of applied job cards (applied_jobcards),Number of issued job cards (issued_jobcards),Number of registered workers from Scheduled Castes (registered_workers_scs),Number of registered workers from Scheduled Tribes (registered_workers_sts),Number of registered workers from other categories (registered_workers_others),Total number of registered workers (total_registered_workers),Number of registered female workers (registered_workers_women),Number of active job cards (active_jobcards),Number of active workers from Scheduled Castes (active_workers_scs),Number of active workers from Scheduled Tribes (active_workers_sts),Number of active workers from other categories (active_workers_others),Total number of active workers (total_active_workers),Number of active female workers (active_workers_women)
"2019-2020","Odisha","Kendujhar","Anandapur","Galaymunda","1916.0","1916.0","34.0","1218.0","691.0","1943.0","912.0","1013.0","19.0","795.0","466.0","1280.0","576.0"
"2022-2023","Punjab","Jalandhar","Bhogpur","Kotla","94.0","94.0","134.0","0.0","8.0","142.0","74.0","62.0","71.0","0.0","3.0","74.0","42.0"
"2020-2021","Andhra Pradesh","Anantapur","Kudair","Jallipalli","693.0","693.0","117.0","17.0","807.0","941.0","459.0","373.0","90.0","11.0","576.0","677.0","326.0"
"2014-2015","Kerala","Palakkad","Kuzhalmannam","Kuzhalmannam","2586.0","2586.0","1774.0","0.0","2993.0","4767.0","3886.0","2070.0","1019.0","0.0","1690.0","2709.0","2472.0"
"2015-2016","Assam","Dhubri","Nayeralga","Dubachuri","1765.0","1678.0","0.0","0.0","7043.0","7043.0","3046.0","729.0","0.0","0.0","3966.0","3966.0","1824.0"
"2022-2023","Uttar Pradesh","Kaushambi","Sirathu","Madhawa Maie","240.0","235.0","142.0","0.0","363.0","505.0","228.0","156.0","87.0","0.0","215.0","302.0","128.0"
"2021-2022","Tamil Nadu","Perambalur","Veppur","Aduthurai","462.0","462.0","19.0","0.0","529.0","548.0","454.0","404.0","14.0","0.0","432.0","446.0","393.0"
"2016-2017","Uttar Pradesh","Azamgarh","Mahrajganj","Mureelpur","147.0","146.0","120.0","0.0","189.0","309.0","148.0","94.0","100.0","0.0","159.0","259.0","130.0"
"2023-2024","Jammu And Kashmir","Shopian","Imamsahib","Sugoo","361.0","361.0","0.0","1.0","402.0","403.0","32.0","313.0","0.0","1.0","333.0","334.0","25.0"
"2019-2020","Uttarakhand","Rudra Prayag","Augustyamuni","Paboo","94.0","94.0","27.0","0.0","130.0","157.0","96.0","86.0","22.0","0.0","112.0","134.0","85.0"
"2015-2016","Bihar","Gaya","Tekari","Amakuwan","1884.0","1826.0","1473.0","1.0","1579.0","3053.0","1273.0","559.0","274.0","0.0","393.0","667.0","348.0"
